sizeMode,symbol,N Rows,Mean(downX),Mean(downY),Std Dev(downX),Std Dev(downY),N(downX),N(downY)
2, ,7250,777.16236177,663.97146207,11.995118182,12.550784929,7250,7250
2,A,7250,606.0060302,582.11682136,11.995118182,12.550784929,7250,7250
2,B,7250,797.68063049,619.50094757,11.995118182,12.550784929,7250,7250
2,C,7250,727.58115309,619.009074,11.995118182,12.550784929,7250,7250
2,D,7250,689.54065698,580.50086064,11.995118182,12.550784929,7250,7250
2,E,7250,668.91014814,539.11449007,11.995118182,12.550784929,7250,7250
2,F,7250,725.69195249,581.31145011,11.995118182,12.550784929,7250,7250
2,G,7250,758.78302002,577.915507,11.995118182,12.550784929,7250,7250
2,H,7250,800.17693031,582.70403652,11.995118182,12.550784929,7250,7250
2,I,7250,851.86143282,538.87524597,11.995118182,12.550784929,7250,7250
2,J,7250,830.6568989,581.26402202,11.995118182,12.550784929,7250,7250
2,K,7250,870.54903234,579.77316227,11.995118182,12.550784929,7250,7250
2,L,7250,911.14728273,584.66674331,11.995118182,12.550784929,7250,7250
2,M,7250,874.89091052,620.45977163,11.995118182,12.550784929,7250,7250
2,N,7250,833.80830588,618.6156732,11.995118182,12.550784929,7250,7250
2,O,7250,890.15093883,538.73716309,11.995118182,12.550784929,7250,7250
2,P,7250,930.46118408,538.1478302,11.995118182,12.550784929,7250,7250
2,Q,7250,589.75282593,539.83345642,11.995118182,12.550784929,7250,7250
2,R,7250,707.70574267,540.92188724,11.995118182,12.550784929,7250,7250
2,S,7250,653.50460497,580.44172562,11.995118182,12.550784929,7250,7250
2,T,7250,743.16307222,538.87096532,11.995118182,12.550784929,7250,7250
2,U,7250,817.27983814,540.46732352,11.995118182,12.550784929,7250,7250
2,V,7250,764.43427049,618.29379754,11.995118182,12.550784929,7250,7250
2,W,7250,633.81896123,540.0695963,11.995118182,12.550784929,7250,7250
2,X,7250,691.55081787,617.88527832,11.995118182,12.550784929,7250,7250
2,Y,7250,778.80448621,540.0663508,11.995118182,12.550784929,7250,7250
2,Z,7250,649.24621582,623.23811099,11.995118182,12.550784929,7250,7250
2.5, ,7261,780.04281144,675.36737155,12.322118606,13.759463235,7261,7261
2.5,A,7261,570.56048116,576.70838392,12.322118606,13.759463235,7261,7261
2.5,B,7261,808.34614759,621.27891032,12.322118606,13.759463235,7261,7261
2.5,C,7261,716.6206191,622.50493145,12.322118606,13.759463235,7261,7261
2.5,D,7261,671.44546924,573.08271142,12.322118606,13.759463235,7261,7261
2.5,E,7261,646.98725171,525.50687049,12.322118606,13.759463235,7261,7261
2.5,F,7261,714.87556556,573.25407399,12.322118606,13.759463235,7261,7261
2.5,G,7261,758.6137962,574.27998006,12.322118606,13.759463235,7261,7261
2.5,H,7261,809.69577703,575.91365022,12.322118606,13.759463235,7261,7261
2.5,I,7261,875.29822006,525.33212811,12.322118606,13.759463235,7261,7261
2.5,J,7261,847.45807206,580.59776547,12.322118606,13.759463235,7261,7261
2.5,K,7261,898.02795487,575.10518315,12.322118606,13.759463235,7261,7261
2.5,L,7261,946.79181182,578.66173157,12.322118606,13.759463235,7261,7261
2.5,M,7261,903.95895229,624.56401332,12.322118606,13.759463235,7261,7261
2.5,N,7261,849.99840738,623.35939223,12.322118606,13.759463235,7261,7261
2.5,O,7261,919.76125475,526.15835312,12.322118606,13.759463235,7261,7261
2.5,P,7261,968.38801025,525.06257385,12.322118606,13.759463235,7261,7261
2.5,Q,7261,549.98330536,529.35658875,12.322118606,13.759463235,7261,7261
2.5,R,7261,692.6882254,527.07314749,12.322118606,13.759463235,7261,7261
2.5,S,7261,623.57441539,573.23602812,12.322118606,13.759463235,7261,7261
2.5,T,7261,737.50443305,524.71118431,12.322118606,13.759463235,7261,7261
2.5,U,7261,829.24318078,527.08333765,12.322118606,13.759463235,7261,7261
2.5,V,7261,763.28748179,623.33558577,12.322118606,13.759463235,7261,7261
2.5,W,7261,599.92429352,524.78857803,12.322118606,13.759463235,7261,7261
2.5,X,7261,678.32382684,622.01080001,12.322118606,13.759463235,7261,7261
2.5,Y,7261,783.31934547,528.17598837,12.322118606,13.759463235,7261,7261
2.5,Z,7261,615.47723694,625.81371765,12.322118606,13.759463235,7261,7261
3, ,7249,779.08488966,688.36124045,13.179494919,13.324760949,7249,7249
3,A,7249,530.43627117,572.18463428,13.179494919,13.324760949,7249,7249
3,B,7249,813.96813026,626.69436567,13.179494919,13.324760949,7249,7249
3,C,7249,704.30364709,625.95978065,13.179494919,13.324760949,7249,7249
3,D,7249,653.49580686,569.08777188,13.179494919,13.324760949,7249,7249
3,E,7249,622.50623144,510.63869049,13.179494919,13.324760949,7249,7249
3,F,7249,705.04204664,568.34103942,13.179494919,13.324760949,7249,7249
3,G,7249,757.94442139,566.37818502,13.179494919,13.324760949,7249,7249
3,H,7249,816.61717936,571.2271482,13.179494919,13.324760949,7249,7249
3,I,7249,896.53060494,509.6555993,13.179494919,13.324760949,7249,7249
3,J,7249,865.55705181,569.79741789,13.179494919,13.324760949,7249,7249
3,K,7249,923.54535607,569.13604427,13.179494919,13.324760949,7249,7249
3,L,7249,983.20850484,574.13323975,13.179494919,13.324760949,7249,7249
3,M,7249,927.42321092,627.88771794,13.179494919,13.324760949,7249,7249
3,N,7249,867.17533348,626.73128116,13.179494919,13.324760949,7249,7249
3,O,7249,948.42851914,512.14981547,13.179494919,13.324760949,7249,7249
3,P,7249,1008.9834408,510.51142043,13.179494919,13.324760949,7249,7249
3,Q,7249,504.99849603,513.03803273,13.179494919,13.324760949,7249,7249
3,R,7249,677.76227928,512.12661226,13.179494919,13.324760949,7249,7249
3,S,7249,594.95955279,569.47307562,13.179494919,13.324760949,7249,7249
3,T,7249,732.46195515,510.2400726,13.179494919,13.324760949,7249,7249
3,U,7249,840.87384242,512.36411212,13.179494919,13.324760949,7249,7249
3,V,7249,761.97720389,625.06333277,13.179494919,13.324760949,7249,7249
3,W,7249,570.27209206,509.23567696,13.179494919,13.324760949,7249,7249
3,X,7249,659.66188965,625.24739075,13.179494919,13.324760949,7249,7249
3,Y,7249,785.86563536,511.72914463,13.179494919,13.324760949,7249,7249
3,Z,7249,586.42064209,624.81434326,13.179494919,13.324760949,7249,7249
3.5, ,7247,778.36252559,703.67321498,13.313731794,13.965104986,7247,7247
3.5,A,7247,493.30441957,567.79834509,13.313731794,13.965104986,7247,7247
3.5,B,7247,824.57129211,629.44480896,13.313731794,13.965104986,7247,7247
3.5,C,7247,696.52820811,630.82106527,13.313731794,13.965104986,7247,7247
3.5,D,7247,633.34456317,565.02802202,13.313731794,13.965104986,7247,7247
